"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill"
"ACEPEN09_SH_03","ACEPEN","09","SH","ACEPEN09_SH","03","WL2","warm","long","chill2"
"ACEPEN09_SH_04","ACEPEN","09","SH","ACEPEN09_SH","04","CL0","cool","long","chill0"
"ACEPEN09_SH_05","ACEPEN","09","SH","ACEPEN09_SH","05","WS2","warm","short","chill2"
"ACEPEN09_SH_06","ACEPEN","09","SH","ACEPEN09_SH","06","WS0","warm","short","chill0"
"ACEPEN09_SH_07","ACEPEN","09","SH","ACEPEN09_SH","07","CS2","cool","short","chill2"
"ACEPEN09_SH_08","ACEPEN","09","SH","ACEPEN09_SH","08","CS1","cool","short","chill1"
"ACEPEN09_SH_09","ACEPEN","09","SH","ACEPEN09_SH","09","WS1","warm","short","chill1"
"ACEPEN09_SH_10","ACEPEN","09","SH","ACEPEN09_SH","10","CL2","cool","long","chill2"
"ACEPEN09_SH_11","ACEPEN","09","SH","ACEPEN09_SH","11","WL0","warm","long","chill0"
"ACEPEN09_SH_12","ACEPEN","09","SH","ACEPEN09_SH","12","CS0","cool","short","chill0"
"ACEPEN11_HF_01","ACEPEN","11","HF","ACEPEN11_HF","01","WS1","warm","short","chill1"
"ACEPEN11_HF_02","ACEPEN","11","HF","ACEPEN11_HF","02","WS0","warm","short","chill0"
"ACEPEN11_HF_03","ACEPEN","11","HF","ACEPEN11_HF","03","CS2","cool","short","chill2"
"ACEPEN11_HF_04","ACEPEN","11","HF","ACEPEN11_HF","04","CS0","cool","short","chill0"
"ACEPEN11_HF_05","ACEPEN","11","HF","ACEPEN11_HF","05","CL2","cool","long","chill2"
"ACEPEN11_HF_06","ACEPEN","11","HF","ACEPEN11_HF","06","CL0","cool","long","chill0"
"ACEPEN11_HF_07","ACEPEN","11","HF","ACEPEN11_HF","07","WL2","warm","long","chill2"
"ACEPEN11_HF_08","ACEPEN","11","HF","ACEPEN11_HF","08","CL1","cool","long","chill1"
"ACEPEN11_HF_09","ACEPEN","11","HF","ACEPEN11_HF","09","WL0","warm","long","chill0"
"ACEPEN11_HF_10","ACEPEN","11","HF","ACEPEN11_HF","10","CS1","cool","short","chill1"
"ACEPEN11_HF_11","ACEPEN","11","HF","ACEPEN11_HF","11","WS2","warm","short","chill2"
"ACEPEN11_HF_12","ACEPEN","11","HF","ACEPEN11_HF","12","WL1","warm","long","chill1"
"ACEPEN11_SH_01","ACEPEN","11","SH","ACEPEN11_SH","01","WL0","warm","long","chill0"
"ACEPEN11_SH_02","ACEPEN","11","SH","ACEPEN11_SH","02","CL2","cool","long","chill2"
"ACEPEN11_SH_03","ACEPEN","11","SH","ACEPEN11_SH","03","WS0","warm","short","chill0"
"ACEPEN11_SH_04","ACEPEN","11","SH","ACEPEN11_SH","04","WS1","warm","short","chill1"
"ACEPEN11_SH_05","ACEPEN","11","SH","ACEPEN11_SH","05","WL2","warm","long","chill2"
"ACEPEN11_SH_06","ACEPEN","11","SH","ACEPEN11_SH","06","CL1","cool","long","chill1"
"ACEPEN11_SH_07","ACEPEN","11","SH","ACEPEN11_SH","07","WL1","warm","long","chill1"
"ACEPEN11_SH_08","ACEPEN","11","SH","ACEPEN11_SH","08","CS1","cool","short","chill1"
"ACEPEN11_SH_09","ACEPEN","11","SH","ACEPEN11_SH","09","WS2","warm","short","chill2"
"ACEPEN11_SH_10","ACEPEN","11","SH","ACEPEN11_SH","10","CS0","cool","short","chill0"
"ACEPEN11_SH_11","ACEPEN","11","SH","ACEPEN11_SH","11","CS2","cool","short","chill2"
"ACEPEN11_SH_12","ACEPEN","11","SH","ACEPEN11_SH","12","CL0","cool","long","chill0"
"ACEPEN12_HF_01","ACEPEN","12","HF","ACEPEN12_HF","01","WL2","warm","long","chill2"
"ACEPEN12_HF_02","ACEPEN","12","HF","ACEPEN12_HF","02","CS1","cool","short","chill1"
"ACEPEN12_HF_03","ACEPEN","12","HF","ACEPEN12_HF","03","CS0","cool","short","chill0"
"ACEPEN12_HF_04","ACEPEN","12","HF","ACEPEN12_HF","04","WS0","warm","short","chill0"
"ACEPEN12_HF_05","ACEPEN","12","HF","ACEPEN12_HF","05","WL1","warm","long","chill1"
"ACEPEN12_HF_06","ACEPEN","12","HF","ACEPEN12_HF","06","CL0","cool","long","chill0"
"ACEPEN12_HF_07","ACEPEN","12","HF","ACEPEN12_HF","07","WS1","warm","short","chill1"
"ACEPEN12_HF_08","ACEPEN","12","HF","ACEPEN12_HF","08","CL1","cool","long","chill1"
"ACEPEN12_HF_09","ACEPEN","12","HF","ACEPEN12_HF","09","CL2","cool","long","chill2"
"ACEPEN12_HF_10","ACEPEN","12","HF","ACEPEN12_HF","10","WL0","warm","long","chill0"
"ACEPEN12_HF_11","ACEPEN","12","HF","ACEPEN12_HF","11","CS2","cool","short","chill2"
"ACEPEN12_HF_12","ACEPEN","12","HF","ACEPEN12_HF","12","WS2","warm","short","chill2"
"ACERUB99_HF_01","ACERUB","99","HF","ACERUB99_HF","01","WL2","warm","long","chill2"
"ACERUB99_HF_02","ACERUB","99","HF","ACERUB99_HF","02","WS2","warm","short","chill2"
"ACERUB99_HF_03","ACERUB","99","HF","ACERUB99_HF","03","WL0","warm","long","chill0"
"ACERUB99_HF_04","ACERUB","99","HF","ACERUB99_HF","04","CS1","cool","short","chill1"
"ACERUB99_HF_05","ACERUB","99","HF","ACERUB99_HF","05","CS2","cool","short","chill2"
"ACERUB99_HF_06","ACERUB","99","HF","ACERUB99_HF","06","CL0","cool","long","chill0"
"ACERUB99_HF_07","ACERUB","99","HF","ACERUB99_HF","07","CL2","cool","long","chill2"
"ACERUB99_HF_08","ACERUB","99","HF","ACERUB99_HF","08","CS0","cool","short","chill0"
"ACERUB99_HF_09","ACERUB","99","HF","ACERUB99_HF","09","WS0","warm","short","chill0"
"ACERUB99_HF_10","ACERUB","99","HF","ACERUB99_HF","10","WS1","warm","short","chill1"
"ACERUB99_HF_11","ACERUB","99","HF","ACERUB99_HF","11","CL1","cool","long","chill1"
"ACERUB99_HF_12","ACERUB","99","HF","ACERUB99_HF","12","WL1","warm","long","chill1"
"ACERUB05_SH_01","ACERUB","05","SH","ACERUB05_SH","01","WS2","warm","short","chill2"
"ACERUB05_SH_02","ACERUB","05","SH","ACERUB05_SH","02","CL1","cool","long","chill1"
"ACERUB05_SH_03","ACERUB","05","SH","ACERUB05_SH","03","WL1","warm","long","chill1"
"ACERUB05_SH_04","ACERUB","05","SH","ACERUB05_SH","04","CS2","cool","short","chill2"
"ACERUB05_SH_05","ACERUB","05","SH","ACERUB05_SH","05","WS1","warm","short","chill1"
"ACERUB05_SH_06","ACERUB","05","SH","ACERUB05_SH","06","WL2","warm","long","chill2"
"ACERUB05_SH_07","ACERUB","05","SH","ACERUB05_SH","07","CL0","cool","long","chill0"
"ACERUB05_SH_08","ACERUB","05","SH","ACERUB05_SH","08","CS0","cool","short","chill0"
"ACERUB05_SH_09","ACERUB","05","SH","ACERUB05_SH","09","WL0","warm","long","chill0"
"ACERUB05_SH_10","ACERUB","05","SH","ACERUB05_SH","10","CL2","cool","long","chill2"
"ACERUB05_SH_11","ACERUB","05","SH","ACERUB05_SH","11","WS0","warm","short","chill0"
"ACERUB05_SH_12","ACERUB","05","SH","ACERUB05_SH","12","CS1","cool","short","chill1"
"ACERUB06_SH_01","ACERUB","06","SH","ACERUB06_SH","01","CS1","cool","short","chill1"
"ACERUB06_SH_02","ACERUB","06","SH","ACERUB06_SH","02","WL0","warm","long","chill0"
"ACERUB06_SH_03","ACERUB","06","SH","ACERUB06_SH","03","WS2","warm","short","chill2"
"ACERUB06_SH_04","ACERUB","06","SH","ACERUB06_SH","04","WL2","warm","long","chill2"
"ACERUB06_SH_05","ACERUB","06","SH","ACERUB06_SH","05","WS1","warm","short","chill1"
"ACERUB06_SH_06","ACERUB","06","SH","ACERUB06_SH","06","CS0","cool","short","chill0"
"ACERUB06_SH_07","ACERUB","06","SH","ACERUB06_SH","07","WL1","warm","long","chill1"
"ACERUB06_SH_08","ACERUB","06","SH","ACERUB06_SH","08","CL2","cool","long","chill2"
"ACERUB06_SH_09","ACERUB","06","SH","ACERUB06_SH","09","WS0","warm","short","chill0"
"ACERUB06_SH_10","ACERUB","06","SH","ACERUB06_SH","10","CL0","cool","long","chill0"
"ACERUB06_SH_11","ACERUB","06","SH","ACERUB06_SH","11","CS2","cool","short","chill2"
"ACERUB06_SH_12","ACERUB","06","SH","ACERUB06_SH","12","CL1","cool","long","chill1"
"ACERUB07_SH_01","ACERUB","07","SH","ACERUB07_SH","01","WL1","warm","long","chill1"
"ACERUB07_SH_02","ACERUB","07","SH","ACERUB07_SH","02","CS0","cool","short","chill0"
"ACERUB07_SH_03","ACERUB","07","SH","ACERUB07_SH","03","CS2","cool","short","chill2"
"ACERUB07_SH_04","ACERUB","07","SH","ACERUB07_SH","04","WL2","warm","long","chill2"
"ACERUB07_SH_05","ACERUB","07","SH","ACERUB07_SH","05","CL0","cool","long","chill0"
"ACERUB07_SH_06","ACERUB","07","SH","ACERUB07_SH","06","WL0","warm","long","chill0"
"ACERUB07_SH_07","ACERUB","07","SH","ACERUB07_SH","07","CS1","cool","short","chill1"
"ACERUB07_SH_08","ACERUB","07","SH","ACERUB07_SH","08","CL2","cool","long","chill2"
"ACERUB07_SH_09","ACERUB","07","SH","ACERUB07_SH","09","CL1","cool","long","chill1"
"ACERUB07_SH_10","ACERUB","07","SH","ACERUB07_SH","10","WS2","warm","short","chill2"
"ACERUB07_SH_11","ACERUB","07","SH","ACERUB07_SH","11","WS1","warm","short","chill1"
"ACERUB07_SH_12","ACERUB","07","SH","ACERUB07_SH","12","WS0","warm","short","chill0"
"ACERUB08_SH_01","ACERUB","08","SH","ACERUB08_SH","01","CL0","cool","long","chill0"
"ACERUB08_SH_02","ACERUB","08","SH","ACERUB08_SH","02","WS2","warm","short","chill2"
"ACERUB08_SH_03","ACERUB","08","SH","ACERUB08_SH","03","WL1","warm","long","chill1"
"ACERUB08_SH_04","ACERUB","08","SH","ACERUB08_SH","04","WL2","warm","long","chill2"
"ACERUB08_SH_05","ACERUB","08","SH","ACERUB08_SH","05","CL2","cool","long","chill2"
"ACERUB08_SH_06","ACERUB","08","SH","ACERUB08_SH","06","CS2","cool","short","chill2"
"ACERUB08_SH_07","ACERUB","08","SH","ACERUB08_SH","07","WS1","warm","short","chill1"
"ACERUB08_SH_08","ACERUB","08","SH","ACERUB08_SH","08","WS0","warm","short","chill0"
"ACERUB08_SH_09","ACERUB","08","SH","ACERUB08_SH","09","CS0","cool","short","chill0"
"ACERUB08_SH_10","ACERUB","08","SH","ACERUB08_SH","10","CS1","cool","short","chill1"
"ACERUB08_SH_11","ACERUB","08","SH","ACERUB08_SH","11","CL1","cool","long","chill1"
"ACERUB08_SH_12","ACERUB","08","SH","ACERUB08_SH","12","WL0","warm","long","chill0"
"ACERUB09_SH_01","ACERUB","09","SH","ACERUB09_SH","01","CL1","cool","long","chill1"
"ACERUB09_SH_02","ACERUB","09","SH","ACERUB09_SH","02","WL1","warm","long","chill1"
"ACERUB09_SH_03","ACERUB","09","SH","ACERUB09_SH","03","CS2","cool","short","chill2"
"ACERUB09_SH_04","ACERUB","09","SH","ACERUB09_SH","04","WS2","warm","short","chill2"
"ACERUB09_SH_05","ACERUB","09","SH","ACERUB09_SH","05","WS1","warm","short","chill1"
"ACERUB09_SH_06","ACERUB","09","SH","ACERUB09_SH","06","WS0","warm","short","chill0"
"ACERUB09_SH_07","ACERUB","09","SH","ACERUB09_SH","07","WL0","warm","long","chill0"
"ACERUB09_SH_08","ACERUB","09","SH","ACERUB09_SH","08","WL2","warm","long","chill2"
"ACERUB09_SH_09","ACERUB","09","SH","ACERUB09_SH","09","CS0","cool","short","chill0"
"ACERUB09_SH_10","ACERUB","09","SH","ACERUB09_SH","10","CL2","cool","long","chill2"
"ACERUB09_SH_11","ACERUB","09","SH","ACERUB09_SH","11","CL0","cool","long","chill0"
"ACERUB09_SH_12","ACERUB","09","SH","ACERUB09_SH","12","CS1","cool","short","chill1"
"ACERUB10_HF_01","ACERUB","10","HF","ACERUB10_HF","01","WS0","warm","short","chill0"
"ACERUB10_HF_02","ACERUB","10","HF","ACERUB10_HF","02","WL1","warm","long","chill1"
"ACERUB10_HF_03","ACERUB","10","HF","ACERUB10_HF","03","CL0","cool","long","chill0"
"ACERUB10_HF_04","ACERUB","10","HF","ACERUB10_HF","04","CL2","cool","long","chill2"
"ACERUB10_HF_05","ACERUB","10","HF","ACERUB10_HF","05","WL0","warm","long","chill0"
"ACERUB10_HF_06","ACERUB","10","HF","ACERUB10_HF","06","CS2","cool","short","chill2"
"ACERUB10_HF_07","ACERUB","10","HF","ACERUB10_HF","07","WL2","warm","long","chill2"
"ACERUB10_HF_08","ACERUB","10","HF","ACERUB10_HF","08","CL1","cool","long","chill1"
"ACERUB10_HF_09","ACERUB","10","HF","ACERUB10_HF","09","WS1","warm","short","chill1"
"ACERUB10_HF_10","ACERUB","10","HF","ACERUB10_HF","10","CS1","cool","short","chill1"
"ACERUB10_HF_11","ACERUB","10","HF","ACERUB10_HF","11","CS0","cool","short","chill0"
"ACERUB10_HF_12","ACERUB","10","HF","ACERUB10_HF","12","WS2","warm","short","chill2"
"ACERUB10_SH_01","ACERUB","10","SH","ACERUB10_SH","01","CS0","cool","short","chill0"
"ACERUB10_SH_02","ACERUB","10","SH","ACERUB10_SH","02","WL1","warm","long","chill1"
"ACERUB10_SH_03","ACERUB","10","SH","ACERUB10_SH","03","CL0","cool","long","chill0"
"ACERUB10_SH_04","ACERUB","10","SH","ACERUB10_SH","04","WL0","warm","long","chill0"
"ACERUB10_SH_05","ACERUB","10","SH","ACERUB10_SH","05","CL2","cool","long","chill2"
"ACERUB10_SH_06","ACERUB","10","SH","ACERUB10_SH","06","WS0","warm","short","chill0"
"ACERUB10_SH_07","ACERUB","10","SH","ACERUB10_SH","07","CS2","cool","short","chill2"
"ACERUB10_SH_08","ACERUB","10","SH","ACERUB10_SH","08","WL2","warm","long","chill2"
"ACERUB10_SH_09","ACERUB","10","SH","ACERUB10_SH","09","WS2","warm","short","chill2"
"ACERUB10_SH_10","ACERUB","10","SH","ACERUB10_SH","10","CS1","cool","short","chill1"
"ACERUB10_SH_11","ACERUB","10","SH","ACERUB10_SH","11","WS1","warm","short","chill1"
"ACERUB10_SH_12","ACERUB","10","SH","ACERUB10_SH","12","CL1","cool","long","chill1"
"ACERUB11_HF_01","ACERUB","11","HF","ACERUB11_HF","01","WL1","warm","long","chill1"
"ACERUB11_HF_02","ACERUB","11","HF","ACERUB11_HF","02","WS0","warm","short","chill0"
"ACERUB11_HF_03","ACERUB","11","HF","ACERUB11_HF","03","CS0","cool","short","chill0"
"ACERUB11_HF_04","ACERUB","11","HF","ACERUB11_HF","04","WL2","warm","long","chill2"
"ACERUB11_HF_05","ACERUB","11","HF","ACERUB11_HF","05","CL0","cool","long","chill0"
"ACERUB11_HF_06","ACERUB","11","HF","ACERUB11_HF","06","WS1","warm","short","chill1"
"ACERUB11_HF_07","ACERUB","11","HF","ACERUB11_HF","07","CL1","cool","long","chill1"
"ACERUB11_HF_08","ACERUB","11","HF","ACERUB11_HF","08","CL2","cool","long","chill2"
"ACERUB11_HF_09","ACERUB","11","HF","ACERUB11_HF","09","CS2","cool","short","chill2"
"ACERUB11_HF_10","ACERUB","11","HF","ACERUB11_HF","10","WL0","warm","long","chill0"
"ACERUB11_HF_11","ACERUB","11","HF","ACERUB11_HF","11","CS1","cool","short","chill1"
"ACERUB11_HF_12","ACERUB","11","HF","ACERUB11_HF","12","WS2","warm","short","chill2"
"ACERUB13_HF_01","ACERUB","13","HF","ACERUB13_HF","01","CL2","cool","long","chill2"
"ACERUB13_HF_02","ACERUB","13","HF","ACERUB13_HF","02","CL1","cool","long","chill1"
"ACERUB13_HF_03","ACERUB","13","HF","ACERUB13_HF","03","WL0","warm","long","chill0"
"ACERUB13_HF_04","ACERUB","13","HF","ACERUB13_HF","04","CS1","cool","short","chill1"
"ACERUB13_HF_05","ACERUB","13","HF","ACERUB13_HF","05","WS1","warm","short","chill1"
"ACERUB13_HF_06","ACERUB","13","HF","ACERUB13_HF","06","WL1","warm","long","chill1"
"ACERUB13_HF_07","ACERUB","13","HF","ACERUB13_HF","07","CL0","cool","long","chill0"
"ACERUB13_HF_08","ACERUB","13","HF","ACERUB13_HF","08","CS2","cool","short","chill2"
"ACERUB13_HF_09","ACERUB","13","HF","ACERUB13_HF","09","WS2","warm","short","chill2"
"ACERUB13_HF_10","ACERUB","13","HF","ACERUB13_HF","10","WL2","warm","long","chill2"
"ACERUB13_HF_11","ACERUB","13","HF","ACERUB13_HF","11","CS0","cool","short","chill0"
"ACERUB13_HF_12","ACERUB","13","HF","ACERUB13_HF","12","WS0","warm","short","chill0"
"ACERUB14_HF_01","ACERUB","14","HF","ACERUB14_HF","01","WL1","warm","long","chill1"
"ACERUB14_HF_02","ACERUB","14","HF","ACERUB14_HF","02","WL0","warm","long","chill0"
"ACERUB14_HF_03","ACERUB","14","HF","ACERUB14_HF","03","CL0","cool","long","chill0"
"ACERUB14_HF_04","ACERUB","14","HF","ACERUB14_HF","04","CL2","cool","long","chill2"
"ACERUB14_HF_05","ACERUB","14","HF","ACERUB14_HF","05","WS0","warm","short","chill0"
