"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill","position","gen","row","col"
"ACERUB10_HF_10","ACERUB","10","HF","ACERUB10_HF","10","CS1","cool","short","chill1",55,"ACE",7,7
"ILEMUC07_SH_12","ILEMUC","07","SH","ILEMUC07_SH","12","CS1","cool","short","chill1",55,"ILE",7,7
"POPGRA02_HF_11","POPGRA","02","HF","POPGRA02_HF","11","CS1","cool","short","chill1",56,"POP",8,7
"FAGGRA05_SH_07","FAGGRA","05","SH","FAGGRA05_SH","07","CS1","cool","short","chill1",56,"FAG",8,7
"BETALL19_HF_05","BETALL","19","HF","BETALL19_HF","05","CS1","cool","short","chill1",57,"BET",1,8
"ACESAC07_SH_02","ACESAC","07","SH","ACESAC07_SH","02","CS1","cool","short","chill1",57,"ACE",1,8
"BETPAP10_SH_11","BETPAP","10","SH","BETPAP10_SH","11","CS1","cool","short","chill1",58,"BET",2,8
"VIBLAN10_HF_12","VIBLAN","10","HF","VIBLAN10_HF","12","CS1","cool","short","chill1",58,"VIB",2,8
"VIBCAS04_SH_06","VIBCAS","04","SH","VIBCAS04_SH","06","CS1","cool","short","chill1",59,"VIB",3,8
"ACESAC99_HF_12","ACESAC","99","HF","ACESAC99_HF","12","CS1","cool","short","chill1",59,"ACE",3,8
"ACEPEN03_HF_09","ACEPEN","03","HF","ACEPEN03_HF","09","CS1","cool","short","chill1",60,"ACE",4,8
"POPGRA01_SH_06","POPGRA","01","SH","POPGRA01_SH","06","CS1","cool","short","chill1",60,"POP",4,8
"ILEMUC08_HF_08","ILEMUC","08","HF","ILEMUC08_HF","08","CS1","cool","short","chill1",61,"ILE",5,8
"QUERUB16_HF_02","QUERUB","16","HF","QUERUB16_HF","02","CS1","cool","short","chill1",61,"QUE",5,8
"BETALL10_HF_01","BETALL","10","HF","BETALL10_HF","01","CS1","cool","short","chill1",62,"BET",6,8
"POPGRA05_SH_10","POPGRA","05","SH","POPGRA05_SH","10","CS1","cool","short","chill1",62,"POP",6,8
"BETPAP06_SH_03","BETPAP","06","SH","BETPAP06_SH","03","CS1","cool","short","chill1",63,"BET",7,8
"FAGGRA14_HF_05","FAGGRA","14","HF","FAGGRA14_HF","05","CS1","cool","short","chill1",63,"FAG",7,8
